                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.568,                 2.0603,                 1.5254,                0.65351,                0.73278,                0.68034,                 0.3791,                 1.3777,                 1.4146,                 1.3875,             0.00066512,             0.00066512,             0.00066512
                      1,                 1.4856,                 1.7305,                 1.4769,                0.81276,                0.74324,                0.82259,                0.46543,                 1.4952,                 1.2039,                 1.4576,              0.0013186,              0.0013186,              0.0013186
                      2,                 1.4422,                 1.5614,                 1.4435,                0.71977,                   0.75,                0.80822,                0.48704,                 1.3641,                  1.158,                 1.3652,              0.0019589,              0.0019589,              0.0019589
                      3,                  1.413,                 1.4508,                 1.4541,                0.72223,                0.71622,                0.76774,                0.47224,                 1.3562,                  1.197,                 1.3522,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.3783,                 1.4498,                 1.3974,                0.69892,                0.79209,                0.82639,                0.51653,                 1.2533,                 1.0458,                 1.3085,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3492,                 1.4443,                 1.4026,                 0.8155,                0.79054,                0.87118,                0.55788,                 1.3197,                0.96202,                 1.3154,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3375,                 1.3845,                 1.3724,                0.82072,                0.80743,                0.86155,                0.54308,                 1.2711,                0.97961,                 1.2568,               0.001901,               0.001901,               0.001901
                      7,                 1.3289,                 1.2515,                 1.3825,                0.78931,                0.81419,                0.85281,                 0.5474,                 1.2641,                0.96991,                 1.2653,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3139,                 1.1866,                 1.3518,                0.77389,                0.79392,                0.85433,                0.53638,                 1.3014,                0.94496,                 1.2832,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3076,                 1.2094,                 1.3526,                0.76342,                0.80671,                0.84753,                0.54863,                 1.2486,                0.99567,                 1.2401,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3022,                 1.1273,                  1.331,                0.88729,                0.79054,                0.89807,                  0.576,                 1.3002,                0.83359,                 1.2763,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2868,                 1.1131,                 1.3354,                0.76005,                0.80068,                0.85595,                0.56116,                 1.2598,                0.91147,                 1.2444,               0.001802,               0.001802,               0.001802
                     12,                 1.2334,                  1.066,                 1.2956,                0.75266,                 0.7973,                0.86013,                0.55806,                 1.2527,                0.92763,                 1.2642,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2503,                 1.1266,                 1.3011,                0.83739,                0.80743,                0.90015,                0.59099,                 1.2196,                0.87419,                 1.2204,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2242,                 1.0233,                 1.2885,                0.83437,                0.76014,                0.87253,                0.56045,                 1.3198,                0.89462,                 1.2975,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2375,                 1.0145,                 1.2949,                 0.8079,                0.80989,                 0.8586,                0.56329,                 1.2184,                  0.863,                 1.2209,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2458,                 1.0401,                 1.3017,                0.79124,                0.81081,                0.86256,                0.57281,                 1.2293,                 0.9488,                 1.2344,               0.001703,               0.001703,               0.001703
                     17,                 1.2055,                0.97808,                 1.2777,                0.86506,                0.80132,                0.90253,                0.58887,                 1.2552,                0.83878,                 1.2364,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2188,                0.96121,                 1.2776,                0.83253,                0.81081,                0.88224,                0.56524,                 1.2709,                0.91287,                  1.258,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1938,                 1.1353,                 1.2691,                0.75522,                0.80743,                0.85945,                0.57317,                  1.227,                0.93028,                 1.2226,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1983,                0.99315,                 1.2757,                0.81702,                 0.7995,                 0.8686,                0.56301,                 1.2409,                0.85128,                 1.2313,              0.0016238,              0.0016238,              0.0016238
