                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8958,                 2.9938,                 1.6168,                 0.4414,                 0.4774,                0.39354,                0.20345,                 1.7739,                 2.0479,                  1.448,              0.0005532,              0.0005532,              0.0005532
                      1,                  1.774,                 2.2137,                 1.4895,                0.42203,                0.54029,                 0.4295,                0.21275,                  1.805,                 1.8579,                 1.4798,              0.0010979,              0.0010979,              0.0010979
                      2,                 1.7155,                 2.0537,                 1.4749,                0.39985,                0.57097,                0.38013,                0.19337,                 1.7358,                 1.9726,                 1.4422,              0.0016316,              0.0016316,              0.0016316
                      3,                   1.74,                  1.949,                 1.4484,                0.42451,                 0.5805,                0.45959,                0.23589,                 1.7338,                 1.7025,                 1.4449,              0.0016175,              0.0016175,              0.0016175
                      4,                  1.689,                 1.9016,                 1.4475,                0.44333,                0.54161,                0.47278,                0.25285,                 1.6419,                 1.6443,                 1.4076,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6708,                 1.8075,                 1.4512,                0.41419,                0.65065,                0.51976,                0.26129,                 1.6593,                 1.6008,                 1.4168,               0.001601,               0.001601,               0.001601
                      6,                 1.6464,                 1.8604,                 1.4317,                0.39739,                0.65541,                0.54627,                0.29104,                 1.6333,                 1.5478,                 1.3798,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5785,                  1.745,                 1.3969,                0.44248,                0.59333,                0.48132,                0.25422,                 1.6096,                 1.6161,                 1.3614,               0.001568,               0.001568,               0.001568
                      8,                 1.5528,                 1.7184,                 1.3877,                0.41481,                0.68238,                 0.5385,                0.27596,                 1.5797,                 1.5628,                 1.3329,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5286,                 1.6464,                 1.3597,                0.53538,                0.61717,                0.60315,                0.32606,                 1.5429,                 1.4183,                 1.3311,               0.001535,               0.001535,               0.001535
                     10,                 1.5026,                 1.6275,                 1.3567,                0.49016,                0.63312,                0.60231,                0.33785,                  1.515,                 1.4402,                 1.3231,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.5217,                 1.5634,                 1.3626,                0.52116,                0.67276,                0.61569,                 0.3334,                  1.547,                 1.3755,                 1.3513,               0.001502,               0.001502,               0.001502
                     12,                 1.4852,                 1.7272,                 1.3218,                0.50987,                0.65409,                0.61645,                0.32622,                 1.5785,                 1.3656,                 1.3685,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4916,                 1.6657,                 1.3341,                0.49077,                0.67327,                0.60245,                0.32515,                 1.5668,                  1.382,                 1.3714,               0.001469,               0.001469,               0.001469
                     14,                 1.4686,                 1.4771,                 1.3327,                0.48236,                0.67327,                 0.6331,                0.32424,                 1.5474,                 1.4233,                 1.3417,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4789,                 1.5299,                 1.3231,                0.57174,                0.66961,                0.62813,                0.33704,                 1.5482,                 1.3512,                  1.327,               0.001436,               0.001436,               0.001436
                     16,                 1.4626,                 1.4576,                 1.3011,                  0.505,                0.62354,                0.58988,                0.30804,                 1.6119,                 1.4019,                  1.357,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4649,                 1.4171,                 1.3116,                 0.5429,                 0.6599,                0.61552,                0.32891,                  1.572,                 1.3888,                 1.3439,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4614,                 1.4012,                 1.3225,                0.54368,                0.70166,                0.63527,                0.35527,                 1.5025,                 1.3135,                 1.3086,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4391,                 1.3578,                 1.2872,                0.56131,                0.68386,                0.64451,                0.34493,                 1.5028,                 1.2842,                 1.3115,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4227,                 1.3252,                 1.2691,                0.57277,                0.65538,                0.68435,                 0.3601,                  1.573,                 1.2421,                 1.3358,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4291,                 1.4001,                 1.3021,                0.52603,                0.66042,                0.63205,                0.34412,                 1.5682,                 1.3559,                 1.3523,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3865,                 1.3102,                 1.2789,                0.55373,                 0.7172,                0.63785,                0.34081,                  1.563,                 1.2578,                  1.341,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3986,                 1.3046,                 1.2634,                0.51923,                0.72044,                0.64478,                0.35839,                  1.542,                 1.2824,                 1.3125,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4262,                 1.3485,                 1.2797,                0.59272,                0.72991,                0.65121,                0.35682,                 1.5685,                 1.2472,                 1.3381,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3779,                 1.2697,                 1.2751,                0.65039,                0.62654,                0.67618,                0.37808,                 1.5297,                 1.2782,                  1.311,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4124,                 1.2789,                 1.2676,                0.60404,                0.72348,                0.68518,                0.36904,                 1.5706,                 1.2424,                 1.3291,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.356,                  1.209,                 1.2308,                0.57743,                0.55517,                0.60098,                0.34052,                 1.5009,                 1.2726,                 1.2976,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3852,                 1.2614,                 1.2617,                0.54184,                0.78032,                0.64744,                0.34941,                 1.5196,                 1.2654,                 1.3177,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3411,                 1.1986,                 1.2256,                0.56637,                0.76964,                0.66118,                0.35152,                 1.5346,                 1.1807,                 1.3189,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3608,                 1.1846,                 1.2268,                0.55367,                0.75438,                0.64364,                0.35636,                 1.5221,                 1.2378,                 1.3107,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3437,                 1.4401,                 1.2382,                0.53836,                0.68314,                0.62284,                0.35427,                 1.5735,                 1.3625,                 1.3504,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3389,                  1.213,                 1.2159,                0.53587,                0.69023,                0.65176,                0.35806,                 1.5436,                 1.2268,                 1.3248,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3667,                 1.1913,                 1.2424,                0.55903,                0.69651,                0.65729,                0.36951,                 1.4846,                  1.224,                 1.2904,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3236,                 1.2087,                 1.2288,                0.60065,                0.69986,                0.66134,                0.36105,                 1.5176,                 1.3959,                 1.3143,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.318,                 1.1678,                 1.2237,                0.57493,                0.77398,                0.66972,                0.37583,                 1.4657,                  1.182,                 1.2793,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3258,                 1.1384,                 1.2382,                0.59609,                0.75053,                0.69564,                0.39065,                 1.5138,                 1.2297,                 1.3152,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3021,                 1.1128,                 1.2099,                0.64963,                0.72947,                0.71768,                0.40397,                 1.5027,                 1.1661,                 1.3035,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2962,                 1.1354,                 1.2184,                0.68508,                 0.7315,                0.73208,                0.41342,                 1.4955,                  1.117,                 1.2799,              0.0010564,              0.0010564,              0.0010564
