                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6572,                 2.0255,                 1.5756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066507,             0.00066507,             0.00066507
                      1,                 1.5308,                 1.5199,                 1.4753,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013054,              0.0013054,              0.0013054
                      2,                 1.5318,                 1.4031,                 1.4801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019193,              0.0019193,              0.0019193
                      3,                 1.4881,                 1.3681,                 1.4555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.4569,                 1.2436,                 1.4333,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4378,                  1.196,                 1.4145,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.414,                 1.1225,                 1.3907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      7,                 1.4694,                 1.1464,                 1.4355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4198,                  1.094,                 1.3946,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3922,                 1.0476,                 1.3733,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3631,                 1.0145,                 1.3526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3497,                0.95968,                 1.3393,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                     12,                  1.333,                 0.9385,                 1.3193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3692,                0.96899,                 1.3712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3019,                0.88362,                 1.2957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3096,                0.92059,                  1.319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3005,                0.89133,                 1.2972,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     17,                  1.306,                0.87882,                 1.3154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2958,                0.86162,                 1.3073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2988,                0.85046,                 1.3067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2673,                0.81384,                 1.2808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2777,                0.82471,                 1.2926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     22,                  1.258,                0.79681,                 1.2682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2309,                 0.7753,                 1.2761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2392,                 0.7888,                 1.2644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.2215,                0.77164,                 1.2568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2254,                0.76182,                  1.265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     27,                 1.2124,                0.75124,                 1.2513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2036,                0.73989,                 1.2482,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2036,                0.73761,                 1.2517,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1846,                0.72843,                 1.2322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1847,                0.71836,                 1.2297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     32,                 1.1648,                0.69831,                 1.2154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1781,                0.69564,                 1.2201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1738,                0.71012,                 1.2172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1568,                0.68958,                 1.2199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006536,              0.0006536,              0.0006536
